Name,Current price,Change(%),Open,High,Low,Volume
CONCRETE PUMPING HLD.,6.68,1.83,6.51,6.71,6.5,67339
CENTURY THERAPEUTICS INC.,3.23,12.42,3.32,3.32,3.16,67258
COMPUTER PROGRAMS AND SYSTEMS,30.49,10.52,30.59,30.96,30.48,67120
SPRING VALLEY ACQUISITION,10.38,0.19,10.42,10.42,10.36,67094
CORVEL CORP.,193.85,1.22,189.78,194.41,188.18,67048
ADAMAS ONE CORP.,0.9,15.26,0.95,0.98,0.812,67036
COLOR STAR TECHNOLOGY CO.,1.93,3.76,1.83,1.99,1.83,66986
FOGHORN THERAPEUTICS INC.,5.85,10.17,5.86,6.05,5.72,66946
CORNER GROWTH ACQUISITION,10.08,0.1,10.08,10.1,10.07,66905
ERIE INDEMNITY CO.,233.27,0.44,232.6,233.68,229.8,66710
OCEAN BIOMEDICAL INC.,5.29,2.72,5.1,5.3,4.94,66671
ALZAMEND NEURO INC.,0.505,1.61,0.5,0.507,0.47,66574
SHL TELEMEDICINE LTD ADS,13.37,137.23,20.0,20.0,12.82,66438
METALPHA TECHNOLOGY HOLDING,0.92,11.08,0.871,0.98,0.84,66398
AMERICAN SOFTWARE INC.,12.59,10.08,12.6,12.62,12.46,66340
GILAT SATELLITE NETWORKS,4.95,0.61,4.93,5.05,4.93,66065
IX ACQUISITION,10.29,0.0,10.29,10.29,10.29,66002
AGRIFORCE GROWING SYSTEMS,0.7,6.06,0.65,0.707,0.643,65869
SHORE BANCSHARES INC,13.67,10.44,13.7,13.79,13.61,65561
FIFTH THIRD BANCORP DEPOSITARY SHARE RE,23.35,0.04,23.25,23.69,23.2,65515
BANK OZK 4.625% SERIES A NON-CUMULATIVE,15.86,1.54,15.55,15.86,15.46,64867
CSW INDUSTRIALS INC.,135.03,0.93,132.83,138.78,132.83,64831
CHUY S HOLDINGS INC.,36.3,2.17,35.34,36.58,35.34,64706
HEIDRICK & STRUGGLES INTERNATIONAL,28.91,0.84,28.58,28.95,28.58,64634
EQUILLIUM INC.,0.73,11.75,0.71,0.75,0.7,64568
JANONE INC.,0.958,13.33,1.01,1.01,0.93,64512
ICF INTERNATIONAL INC.,110.19,1.15,108.17,110.83,108.17,64477
ENACT HOLDINGS INC.,23.28,1.48,22.99,23.3,22.99,64432
EFFECTOR THERAPEUTICS INC.,0.346,15.46,0.35,0.363,0.342,64336
TRIVAGO N.V. ADS,1.43,0.0,1.43,1.44,1.42,64319
IMMUTEP LTD.,1.62,12.41,1.62,1.7,1.61,63988
BLACK DIAMOND THERAPEUTICS,1.53,16.13,1.61,1.62,1.5,63828
GULF ISLAND FABRICATION INC.,3.49,0.58,3.54,3.55,3.42,63814
MULTIMETAVERSE HOLDINGS,0.96,14.0,0.98,1.0,0.92,63707
CRA INTERNATIONALINC.,106.58,2.08,104.49,107.3,103.24,63632
EMCORE CORP.,1.12,10.88,1.14,1.15,1.12,63521
GREENBROOK TMS INC.,0.688,10.29,0.69,0.69,0.63,63408
SIENTRA INC.,1.31,0.0,1.32,1.33,1.29,63095
BYRNA TECHNOLOGIES INC.,7.55,1.34,7.4,7.59,7.33,63073
APPLIED OPTOELECTRONICS INC.,2.22,3.74,2.12,2.24,2.11,62884
YANGUFANG INTERNATIONAL GROUP CO.,3.28,0.0,3.6,3.6,3.28,62749
TUCOWS INC.,17.28,1.05,17.0,17.86,16.79,62001
RICEBRAN TECHNOLOGIES,0.88,14.66,0.92,0.923,0.856,61954
MACATAWA BANK CORP.,9.63,10.41,9.67,9.68,9.53,61774
GSI TECHNOLOGY INC.,1.93,13.5,2.05,2.05,1.93,61554
TRUSTCO BANK CORP NY,31.12,0.68,30.73,31.42,30.73,61383
CERAGON NETWORKS,1.68,1.2,1.64,1.7,1.63,61339
RED VIOLET INC.,16.1,11.29,16.12,16.53,15.99,60864
INTELLIGENT BIO SOLUTIONS INC.,2.9,4.32,2.87,3.03,2.78,60469
FIRST MID BANCSHARES INC.,26.96,1.66,26.45,27.03,26.35,60422
VISLINK TECHNOLOGIES INC.,0.35,3.86,0.337,0.35,0.336,60411
GRAPHITE BIO INC.,2.5,11.19,2.53,2.54,2.47,60394
NAUTICUS ROBOTICS INC.,2.62,19.97,2.84,2.84,2.6,60364
TRACON PHARMACEUTICALS INC.,1.98,13.88,2.09,2.14,1.95,60356
FINANCIAL INSTITUTIONS INC.,18.33,10.65,18.45,18.68,18.26,60173
AGNC INVESTMENT,24.1,0.21,24.14,24.15,23.91,60149
ROTH CH ACQUISITION V CO.,10.32,0.0,10.32,10.32,10.31,60000
BRILLIANT EARTH GROUP INC.,3.89,3.18,3.75,3.92,3.73,59865
SURROZEN INC.,0.633,12.43,0.555,0.633,0.55,59831
TREMOR INTERNATIONAL,5.46,0.37,5.37,5.59,5.34,59694
BROADWIND INC.,3.52,5.07,3.35,3.55,3.26,59662
UNITED INSURANCE HOLDINGS,3.01,1.01,2.97,3.05,2.9,59301
SUPERIOR GROUP OF COMPANIES,7.38,12.25,7.5,7.59,7.21,59299
STREAMLINE HEALTH SOLUTIONS,1.76,1.15,1.72,1.78,1.72,59015
TALARIS THERAPEUTICS INC.,1.8,1.12,1.84,1.86,1.75,58911
LUCID DIAGNOSTICS INC.,1.36,6.25,1.35,1.46,1.35,58844
COVENANT LOGISTICS GROUP INC.,35.19,3.56,33.7,35.49,33.7,58788
AN2 THERAPEUTICS INC.,9.0,0.33,8.97,9.23,8.78,58717
IBEX LTD.,24.81,1.76,24.13,24.9,24.13,58552
IMUNON INC.,1.09,14.39,1.14,1.18,1.09,58474
GLOBAL BLOCKCHAIN ACQUISITION,10.31,0.1,10.29,10.56,10.29,58280
VIVANI MEDICAL INC.,0.87,10.57,0.868,0.895,0.865,58165
ALIGOS THERAPEUTICS INC.,0.892,10.89,0.924,0.94,0.87,58157
NORTHWEST PIPE CO.,28.46,0.18,28.37,28.84,28.37,57974
STEALTHGAS INC.,2.7,1.89,2.67,2.71,2.65,57894
JIAYIN GROUP INC. ADS,3.84,10.26,3.86,3.9,3.72,57634
LIXIANG EDUCATION HOLDING CO.,0.685,0.74,0.62,0.73,0.62,57472
MID PENN BANCORP,24.79,0.36,24.51,25.04,24.51,57398
EARGO INC.,5.29,13.52,4.74,5.29,4.66,57382
PALTALK INC.,1.83,15.18,1.89,1.92,1.77,56967
FIRSTSERVICE CORP.,140.43,0.31,138.56,140.9,138.52,56821
LIXTE BIOTECHNOLOGY HLD.,0.913,10.76,0.95,0.95,0.9,56756
DATCHAT INC.,0.57,11.55,0.5,0.58,0.5,56733
BIODESIX INC.,1.68,12.33,1.69,1.75,1.6,56489
INDUS REALTY TRUST INC.,66.31,10.03,66.3,66.37,66.19,56430
MARKETWISE INC.,1.61,0.63,1.58,1.62,1.57,56357
IMV INC.,0.535,3.68,0.53,0.54,0.52,56337
MATERIALISE NV ADS,7.89,10.88,7.91,7.97,7.79,56212
DIRECT DIGITAL HLD.,2.86,0.35,2.84,2.94,2.84,56074
INNOVATIVE EYEWEAR INC.,1.46,2.82,1.4,1.53,1.36,56061
BLACKBOXSTOCKS INC.,3.32,110.83,3.6,3.92,3.204,55869
BIOFRONTERA INC.,0.587,12.17,0.59,0.63,0.585,55565
GOLDENBRIDGE ACQUISITION,0.43,18.51,0.401,0.433,0.4,55526
BRP INC.,73.34,1.72,71.95,73.34,71.81,55388
ENSTAR GROUP LTD.,22.87,1.73,22.48,22.87,22.42,55257
P3 HEALTH PARTNERS INC.,1.02,2.0,1.0,1.05,0.97,55201
CYTOSORBENTS CORP.,3.3,3.45,3.19,3.33,3.13,55181
BRIGHTHOUSE FINANCIAL,16.74,10.24,16.77,17.1,16.53,55167
APYX MEDICAL CORP.,3.24,7.64,3.04,3.24,3.04,55120
ORGENESIS INC.,1.21,6.14,1.13,1.23,1.11,55029
CRESUD S.A.C.I.F. Y A. ADS,6.45,3.2,6.25,6.47,6.23,55013
FREIGHTOS LTD.,3.03,8.99,2.8,3.21,2.72,54822
MONROE CAPITAL CORP.,7.57,11.05,7.8,7.8,7.45,54797
CEVA INC.,29.58,2.14,28.59,29.68,28.59,54787
THE ONCOLOGY INSTITUTE INC.,0.692,0.29,0.7,0.7,0.674,54672
MARIN SOFTWARE INC.,0.9,11.1,0.95,0.95,0.89,54628
ATN INTERNATIONAL INC.,41.1,11.42,41.77,42.16,41.0,54527
MICROCLOUD HOLOGRAM INC.,2.42,0.0,2.39,2.51,2.37,54511
GALECTIN THERAPEUTICS INC.,2.02,12.88,2.06,2.11,2.01,54398
ABEONA THERAPEUTICS INC.,2.83,0.71,2.8,2.83,2.73,54290
ESTABLISHMENT LABS HLD.,70.52,10.68,70.61,71.24,69.64,54270
GREENPRO CAPITAL,1.54,3.36,1.45,1.6,1.38,54115
OAK VALLEY BANCORP (CA),23.98,1.96,23.42,25.2,23.42,54052
NYXOAH SA,7.98,2.31,7.34,8.49,7.34,53965
ONCONOVA THERAPEUTICS INC.,0.67,14.29,0.66,0.69,0.66,53875
APPLIED UV INC.,0.795,10.63,0.8,0.8,0.761,53593
IRIDEX CORP.,2.12,2.42,2.04,2.13,2.01,53518
GLADSTONE INVESTMENT,13.04,10.23,13.06,13.13,12.91,53350
MICROALGO INC.,2.06,0.98,2.05,2.09,2.03,53325
OVID THERAPEUTICS INC.,2.55,0.79,2.51,2.58,2.45,53277
COLONY BANKCORP INC.,9.83,2.5,9.59,9.9,9.52,53161
FARMER BROTHERS CO.,3.38,14.25,3.53,3.53,3.36,53144
POLARITYTE INC.,0.44,0.0,0.462,0.462,0.42,53077
LAMF GLOBAL VENTURES,10.45,0.0,10.47,10.47,10.45,52957
VIQ SOLUTIONS INC.,0.34,12.86,0.34,0.35,0.32,52891
BETTERWARE DE MEXICO S.A.P.I. DE C.V.,11.28,1.26,11.15,11.5,10.65,52875
EDAP TMS S.A. ADS,10.5,11.41,10.86,10.94,10.45,52483
KAZIA THERAPEUTICS,1.09,13.54,1.1,1.15,1.05,52438
HOME POINT CAPITAL INC.,2.18,5.31,1.98,2.24,1.98,52392
RENEO PHARMACEUTICALS INC.,6.01,7.32,5.55,6.37,5.45,52335
QCR HOLDINGS INC.,42.91,10.76,43.14,43.95,42.66,52323
GRINDROD SHIPPING HLD.,10.08,2.54,9.66,10.18,9.66,52294
ITERIS INC.,4.63,1.76,4.45,4.67,4.45,52268
COFFEE HOLDING CO. INC.,2.16,13.68,1.93,2.16,1.93,52054
CARTER BANKSHARES INC.,13.8,0.36,13.7,14.02,13.7,52044
EGAIN CORP.,7.5,2.04,7.3,7.61,7.29,52021
YOTTA ACQUISITION,0.14,0.0,0.14,0.14,0.14,52000
ABSOLUTE SOFTWARE,8.42,1.57,8.32,8.42,8.07,51975
HAWKINS INC.,43.48,0.91,42.99,43.84,42.99,51937
AZIYO BIOLOGICS INC.,1.44,10.69,1.42,1.47,1.4,51798
KORU MEDICAL SYSTEMS INC.,3.97,11.49,4.0,4.1,3.96,51766
ACLARION INC.,0.792,20.0,0.65,0.792,0.65,51718
ARCO PLATFORM LTD.,11.32,2.26,11.18,11.33,11.1,51694
POLESTAR AUTOMOTIVE HOLDING UK,0.78,0.0,0.77,0.82,0.75,51649
COASTAL FINANCIAL,33.84,1.99,32.92,34.1,32.92,51553
ONTRAK,0.528,10.38,0.58,0.58,0.45,51052
MODIVCARE INC.,84.83,0.88,83.68,85.23,83.05,50977
CAPSTAR FINANCIAL HLD.,14.77,1.03,14.42,14.8,14.42,50884
SAFETY INSURANCE GROUP INC.,76.89,0.64,76.32,77.16,75.86,50880
ENTERPRISE 4.0 TECHNOLOGY ACQUISITION,10.45,0.0,10.45,10.49,10.45,50649
PROPHASE LABS INC.,8.51,1.43,8.51,8.53,8.29,50454
HARROW HEALTH,25.05,0.2,25.1,25.2,24.75,50417
RCM TECHNOLOGIES INC.,11.73,2.62,11.54,11.84,11.48,50347
DIRTT ENVIRONMENTAL SOLUTIONS,0.43,19.47,0.491,0.491,0.4,50164
JANUX THERAPEUTICS INC.,13.51,0.67,13.22,13.62,13.06,50063
VIRTUS INVESTMENT PARTNERS,180.12,0.51,178.8,181.45,177.04,50049
XUNLEI LTD.,1.69,13.43,1.71,1.74,1.68,50025
ALPHAVEST ACQUISITION CORP RIGHT,0.15,36.36,0.15,0.15,0.15,50000
HORIZON SPACE ACQUISITION I,0.12,114.29,0.12,0.12,0.12,50000
CASS INFORMATION SYSTEMS INC,43.39,10.05,43.18,43.67,42.95,49997
THERMOGENESIS HLD.,2.33,1.3,2.3,2.42,2.18,49917
NORTHRIM BANCORP INC,45.25,0.56,44.75,45.82,44.75,49642
ALPINE IMMUNE SCIENCES INC.,7.75,2.38,7.55,8.02,7.55,49563
EVGO INC. WARRANTS,0.81,10.51,0.89,0.899,0.788,49489
FULL HOUSE RESORTS INC.,6.97,2.05,6.74,6.99,6.74,49477
CPI CARD GROUP INC.,43.37,0.07,43.63,44.15,42.49,49465
THE SINGING MACHINE CO.,1.58,113.19,1.65,1.67,1.41,49453
UNITED HOMES GROUP INC,12.15,11.86,11.95,12.36,11.26,49448
CEA INDUSTRIES INC.,0.88,11.12,0.89,0.899,0.8,49447
SNOW LAKE RESOURCES,1.85,11.07,1.86,1.9,1.84,49429
WINDTREE THERAPEUTICS INC.,4.74,13.27,4.89,4.89,4.55,49410
HF FOODS GROUP INC.,3.87,12.03,3.91,3.95,3.75,49306
KALA PHARMACEUTICALS INC.,13.86,0.43,13.85,13.99,13.39,49302
CYNGN INC.,1.12,11.75,1.12,1.15,1.11,49142
FUTURETECH II ACQUISITION,10.49,0.0,10.49,10.49,10.49,49093
KIORA PHARMACEUTICALS INC.,3.62,9.7,3.33,3.67,3.23,49084
WORLD ACCEPTANCE,80.68,10.37,80.2,82.4,80.02,49081
JOHN B. SANFILIPPO & SON INC.,97.1,0.03,96.7,97.51,95.91,49071
SYROS PHARMACEUTICALS INC.,2.59,3.19,2.58,2.59,2.52,49032
GIGACLOUD TECHNOLOGY INC,5.72,1.6,5.71,5.88,5.62,49006
AVIAT NETWORKS INC.,34.0,0.65,33.57,34.15,33.41,48907
CVRX INC.,9.04,0.78,8.93,9.06,8.63,48897
VIA RENEWABLES INC.,16.38,16.93,17.49,17.53,16.1,48884
BASSETT FURNITURE INDUSTRIES,15.73,11.07,15.88,16.2,15.73,48857
NOVONIX LTD.,3.0,12.6,3.36,3.36,3.0,48718
CAMDEN NATIONAL,35.0,10.4,35.14,35.82,34.79,48713
PEPGEN INC.,11.51,0.96,11.42,12.12,11.01,48661
HERITAGE-CRYSTAL CLEAN INC.,34.55,1.26,34.12,34.65,34.12,48616
SALARIUS PHARMACEUTICALS INC.,1.55,6.9,1.43,1.58,1.39,48510
AETHLON MEDICAL INC.,0.378,10.53,0.38,0.396,0.376,48292
VALLEY NATIONAL BANCORP 5.5% FIXED TO F,21.0,10.24,21.0,21.15,20.67,48146
RED CAT HOLDINGS INC.,1.008,2.86,0.99,1.02,0.99,48033
ALICO INC.,24.76,3.99,23.66,24.8,23.66,47950
BACKBLAZE INC.,4.71,2.17,4.5,4.74,4.5,47791
SEMANTIX INC.,4.48,4.43,4.2,4.55,4.2,47712
APPRECIATE HOLDINGS INC.,0.434,18.05,0.48,0.5,0.41,47699
AUDDIA INC.,0.488,15.79,0.544,0.551,0.488,47659
OPAL FUELS INC.,7.69,1.99,7.55,7.77,7.51,47595
BEASLEY BROADCAST GROUP INC.,0.77,1.32,0.76,0.84,0.76,47583
GREENWICH LIFESCIENCES INC.,12.65,13.66,13.1,13.53,12.6,47576
STEAKHOLDER FOODS,0.632,3.61,0.707,0.707,0.629,47560
ASSURE HOLDINGS,2.96,14.52,3.05,3.26,2.79,47543
ZENVIA INC.,0.87,13.33,0.84,0.9,0.815,47396
KIMBALL ELECTRONICS INC.,22.94,1.19,22.45,23.06,22.45,47327
FATHOM HOLDINGS INC.,4.4,9.45,4.02,4.41,4.02,47254
COMMUNITY TRUST BANCORP INC.,37.37,0.35,37.32,38.02,37.32,47080
CNB FINANCIAL CORP.,17.95,0.5,17.77,18.63,17.76,47073
HARBOR CUSTOM DEVELOPMENT INC.,4.59,17.83,4.93,4.93,4.2,47015
CRICUT INC.,9.92,11.39,9.95,10.09,9.76,47012
ANTELOPE ENTERPRISE HLD.,1.03,0.98,1.04,1.04,1.02,46879
HOLLYSYS AUTOMATION TECHNOLOGIES,16.28,0.12,16.26,16.42,16.19,46833
ELEDON PHARMACEUTICALS INC.,2.02,9.19,1.85,2.15,1.85,46798
FIRST BANK,10.04,10.89,10.02,10.3,10.02,46676
SKYDECK ACQUISITION,10.22,10.1,10.23,10.23,10.22,46674
MONOPAR THERAPEUTICS INC.,1.29,2.38,1.3,1.36,1.26,46512
ZW DATA ACTION TECHNOLOGIES,1.5,16.83,1.56,1.6,1.5,46436
BONE BIOLOGICS CORP,0.261,0.39,0.27,0.27,0.26,46316
POWELL INDUSTRIES INC.,40.55,3.18,39.27,40.65,39.27,46093
ICZOOM GROUP INC.,1.72,0.58,1.71,1.8,1.69,46080
LAVA MEDTECH ACQUISITION,10.43,0.1,10.42,10.43,10.42,46013
BANK FIRST CORP.,70.24,3.42,67.72,70.83,67.66,45982
VSE CORP.,43.99,2.9,42.52,44.42,42.52,45909
LANZATECH GLOBAL INC.,3.38,1.5,3.33,3.5,3.33,45830
SIERRA BANCORP,16.64,0.3,16.61,16.67,16.6,45778
GRACELL BIOTECHNOLOGIES,1.83,12.66,1.89,1.89,1.78,45687
MERIDIAN CORP.,12.4,1.06,12.35,12.7,12.27,45649
KEYARCH ACQUISITION,10.34,0.1,10.33,10.34,10.33,45600
MEDALLION FINANCIAL,7.0,2.64,6.83,7.14,6.8,45519
NEOVASC INC.,30.03,1.66,29.59,30.07,29.43,45477
ARROW FINANCIAL,23.54,0.9,23.41,23.82,23.41,45453
HUNTINGTON BANCSHARES INC.,17.29,0.23,17.32,17.58,17.15,45407
CYCLO THERAPEUTICS INC.,0.739,1.23,0.766,0.84,0.701,45388
NUCANA PLC ADS,0.905,1.69,0.9,0.93,0.9,45274
QUEST RESOURCE HOLDING,5.62,1.63,5.53,6.04,5.5,45036
INVIVO THERAPEUTICS HLD.,1.02,12.86,1.03,1.03,0.95,44926
DA32 LIFE SCIENCE TECH ACQUISITION,10.16,0.3,10.23,10.79,10.13,44924
MILLICOM INTERNATIONAL CELLULAR S.A.,18.28,10.81,18.32,18.42,18.12,44902
RESHAPE LIFESCIENCES INC.,2.65,13.64,2.68,2.72,2.63,44707
ORCHARD THERAPEUTICS PLC ADS,5.23,12.24,5.24,5.64,5.17,44689
EDESA BIOTECH INC.,0.998,5.16,0.96,1.0,0.96,44660
ACORDA THERAPEUTICS INC.,0.55,1.85,0.52,0.55,0.51,44605
ELECTROCORE INC.,6.39,14.31,5.6,6.45,5.6,44541
CHECK-CAP,1.3,11.52,1.3,1.36,1.26,44506
STERLING BANCORP INC.,5.5,11.08,5.39,5.69,5.31,44497
PINTEC TECHNOLOGY HLD.,1.25,0.81,1.3,1.3,1.24,44476
OLINK HOLDING AB (PUBL) ADS,22.3,2.72,21.49,22.42,21.49,44301
PURE CYCLE CORP.,9.4,0.97,9.29,9.41,9.21,44098
HOOKER FURNISHINGS,18.73,2.18,18.19,19.0,18.19,44026
IMMUNOPRECISE ANTIBODIES,2.91,1.75,2.86,3.3,2.83,43971
SOPHIA GENETICS SA,4.67,10.43,4.7,4.88,4.55,43828
DECIBEL THERAPEUTICS INC.,2.72,112.54,3.09,3.09,2.72,43578
BIOTE CORP.,5.88,10.34,5.9,5.99,5.66,43561
HARTE-HANKS INC.,9.22,6.84,8.63,9.4,8.63,43409
CAMTEK,26.11,10.5,25.97,26.28,25.85,43388
AMTECH SYSTEMS INC.,9.07,10.33,9.01,9.31,8.91,43243
CAPITAL CITY BANK GROUP,29.55,0.75,29.21,29.89,29.21,43148
BROOKFIELD PROPERTY PARTNERS L.P. 5.750,12.63,10.63,12.63,12.7,12.56,43092
TKB CRITICAL TECHNOLOGIES 1,10.4,0.0,10.51,10.51,10.4,43076
VOLCON INC.,1.4,0.72,1.36,1.44,1.36,43043
NOVA,97.17,0.77,95.78,97.29,95.4,42953
SAB BIOTHERAPEUTICS INC.,0.411,0.0,0.411,0.411,0.366,42936
GREENLIGHT REINSURANCE,9.53,1.93,9.38,9.59,9.31,42898
LIPELLA PHARMACEUTICALS INC.,1.71,15.0,1.75,1.89,1.7,42821
VTV THERAPEUTICS INC.,0.741,13.77,0.81,0.81,0.72,42679
VACCINEX INC.,0.406,1.5,0.399,0.406,0.395,42586
FRESH TRACK THERAPEUTICS INC.,0.582,11.69,0.615,0.615,0.581,42352
ZEROFOX HOLDINGS INC.,1.65,1.85,1.64,1.73,1.55,42007
GOLDEN MATRIX GROUP INC.,2.35,16.37,2.55,2.75,2.32,41986
SAFE & GREEN HOLDINGS,0.912,14.0,0.95,0.95,0.91,41878
QURATE RETAIL,29.75,2.62,28.2,30.28,28.2,41755
NORWOOD FINANCIAL,28.07,10.04,28.12,28.3,27.71,41752
OFS CREDIT CO.,9.2,0.0,9.2,9.23,9.18,41738
LUTHER BURBANK CORP.,9.82,2.61,9.47,9.84,9.47,41675
ZYVERSA THERAPEUTICS INC.,1.78,2.89,1.78,1.88,1.73,41587
BAUDAX BIO INC.,1.56,13.7,1.61,1.66,1.55,41360
WILLDAN GROUP INC.,15.51,3.06,15.22,15.93,15.09,41352
VIOMI TECHNOLOGY CO. LTD ADS,0.93,10.75,0.937,0.95,0.93,41214
GREAT SOUTHERN BANCORP INC.,50.04,1.34,49.53,50.42,49.45,41176
FULTON FINANCIAL,15.85,0.0,15.75,16.16,15.75,41161
LOOP INDUSTRIES INC.,3.12,10.25,2.84,3.17,2.83,41055
SPROTT FOCUS TRUST,8.12,2.01,8.03,8.13,8.03,41020
TIPTREE INC.,14.17,1.07,13.93,14.21,13.93,40971
RCI HOSPITALITY HLD.,75.4,0.61,75.03,76.47,74.25,40626
UNITED MARITIME,2.79,10.36,2.8,2.85,2.78,40615
EVERSPIN TECHNOLOGIES INC.,6.5,11.81,6.51,6.56,6.47,40521
RBB BANCORP,14.69,3.52,14.11,14.75,14.11,40509
GREEN PLAINS PARTNERS LP,12.9,1.42,12.81,12.97,12.81,40339
ALLIED MOTION TECHNOLOGIES,35.85,3.22,34.51,35.98,34.42,40160
EVOGENE,0.61,0.0,0.64,0.64,0.61,40098
CENTRAL VALLEY COMMUNITY BANCORP,18.83,11.47,18.91,19.4,18.68,40092
NATURE S SUNSHINE PRODUCTS,10.98,3.78,10.43,11.05,10.38,39852
GH RESEARCH PLC,8.38,11.99,8.5,8.59,8.23,39795
GAMBLING.COM GROUP,10.01,2.56,9.62,10.01,9.62,39786
LM FUNDING AMERICA INC.,0.797,2.18,0.8,0.803,0.78,39466
ENTRADA THERAPEUTICS INC.,14.75,6.96,13.25,14.95,13.25,39459
NEOGAMES S.A.,15.47,3.83,14.77,15.5,14.74,39391
LF CAPITAL ACQUISITION,10.52,0.0,10.51,10.52,10.51,39373
SENECA FOODS CORP.,52.3,1.75,51.13,52.37,51.08,39196
LIFETIME BRANDS INC.,5.45,12.15,5.6,5.66,5.32,39184
ROCKY BRANDS INC.,24.5,2.98,23.77,24.74,23.09,39141
PERCEPTION CAPITAL,10.7,1.33,10.64,10.7,10.63,39134
UNIVERSAL LOGISTICS HLD.,28.21,1.62,27.61,28.28,27.61,39086
ELYS GAME TECHNOLOGY,0.51,9.68,0.465,0.523,0.465,39075
PROFIRE ENERGY INC.,1.24,1.64,1.26,1.28,1.23,38974
THE DIXIE GROUP INC.,0.79,15.95,0.84,0.84,0.79,38964
ART S-WAY MANUFACTURING CO.,2.53,7.66,2.49,2.53,2.28,38928
ANI PHARMACEUTICALS INC.,38.5,0.89,38.01,38.86,37.91,38871
TRXADE HEALTH INC.,0.271,12.87,0.275,0.28,0.271,38674
THE OLB GROUP INC.,0.95,0.53,0.945,0.99,0.945,38658
COLISEUM ACQUISITION,10.24,0.0,10.24,10.24,10.24,38580
CHEMOMAB THERAPEUTICS,1.56,9.86,1.49,1.64,1.46,38464
LIBERTY RESOURCES ACQUISITION,10.64,0.66,10.31,10.64,9.62,38460
BETTER WORLD ACQUISITION,10.77,0.0,10.74,10.77,10.73,38430
WRAP TECHNOLOGIES INC.,1.58,12.47,1.59,1.62,1.57,38365
ACRIVON THERAPEUTICS INC.,9.5,8.08,8.81,9.74,8.81,38135
DALLASNEWS CORP.,4.46,0.9,4.36,4.48,4.36,38036
ISPIRE TECHNOLOGY INC.,7.0,11.13,7.04,7.05,6.95,37888
BRUUSH ORAL CARE INC.,0.267,1.52,0.275,0.275,0.263,37840
STRUCTURE THERAPEUTICS,24.73,0.94,24.2,25.09,24.11,37667
THERAPEUTICSMD INC.,3.58,0.56,3.5,3.67,3.48,37620
ICECURE MEDICAL,1.12,10.88,1.12,1.12,1.1,37581
PONO CAPITAL TWO INC.,10.43,0.0,10.49,10.49,10.43,37543
SIGMATRON INTERNATIONAL INC.,2.59,13.36,2.64,2.75,2.5,37476
ACASTI PHARMA INC.,0.46,4.78,0.43,0.46,0.43,37439
MAMAMANCINI S HLD.,1.76,14.35,1.82,1.84,1.76,37437
CONFORMIS INC.,1.61,0.0,1.59,1.71,1.58,37355
PINEAPPLE ENERGY INC.,1.38,10.72,1.37,1.39,1.35,37341
ANIKA THERAPEUTICS INC.,28.3,10.81,28.37,28.52,28.0,37272
JUPITER WELLNESS ACQUISITION,0.361,15.0,0.351,0.382,0.336,37207
B. RILEY FINANCIAL,19.25,5.71,18.55,19.71,18.55,36938
MAWSON INFRASTRUCTURE GROUP,2.89,7.43,2.69,2.99,2.54,36907
XOMA CORP.,21.48,11.47,19.47,21.8,19.47,36808
ZENTEK LTD.,1.63,2.52,1.62,1.71,1.59,36791
WALKME,10.74,10.28,10.42,10.83,10.23,36784
SUPERCOM,1.23,16.11,1.31,1.32,1.22,36758
HBT FINANCIAL INC.,19.14,0.84,19.0,19.37,18.93,36708
MAINSTREET BANCSHARES INC.,22.9,1.1,22.36,22.9,22.35,36661
LIVEVOX HOLDINGS INC.,3.11,10.96,3.14,3.18,3.04,36636
CONSUMER PORTFOLIO SERVICES,9.75,1.56,9.6,10.14,9.54,36625
METROCITY BANKSHARES INC.,16.55,1.97,16.5,16.7,16.5,36623
VACCITECH PLC ADS,2.25,12.6,2.34,2.34,2.2,36606
COMSCORE INC.,1.16,11.69,1.16,1.17,1.15,36545
STRAN & COMPANY INC.,1.75,11.13,1.77,1.8,1.67,36518
LESAKA TECHNOLOGIES INC.,4.19,11.87,4.12,4.28,4.04,36490
ALLIED GAMING & ENTERTAINMENT,1.13,12.59,1.14,1.16,1.13,36394
BIOCEPT INC.,0.325,0.0,0.325,0.329,0.325,36354
CALIFORNIA BANCORP,18.26,10.81,18.41,18.8,18.13,36305
DISC MEDICINE INC.,21.28,15.46,22.48,22.98,21.12,36255
FREELINE THERAPEUTICS HLD.,0.411,16.8,0.441,0.457,0.411,36225
AWARE INC.,1.72,18.02,1.84,1.84,1.68,36222
MAINZ BIOMED N.V.,6.11,15.86,6.5,6.5,6.07,35992
GARRETT MOTION,9.11,1.79,9.01,9.15,8.99,35821
ALPHA TEKNOVA INC.,2.41,12.43,2.44,2.47,2.35,35791
TELA BIO INC.,10.98,0.0,11.0,11.1,10.7,35559
TRINITY BIOTECH PLC ADS,0.835,11.18,0.803,0.89,0.803,35486
SNAP ONE HOLDINGS,8.89,3.61,8.61,9.02,8.48,35475
FUSION FUEL GREEN PLC,2.68,3.08,2.7,2.7,2.57,35455
OBLONG INC.,1.4,111.95,1.45,1.57,1.27,35349
IM CANNABIS CORP.,0.692,12.12,0.73,0.73,0.686,35311
LIBERTY MEDIA CORP.,36.35,1.28,35.85,36.42,35.68,35264
